Name,Type,Cat.,Power,Acc.,PP,Effect
Magma Storm,FIRE,,100,75,5,"Traps opponent, damaging them for 4-5 turns."
Magnet Bomb,STEEL,,60,∞,20,Ignores Accuracy and Evasiveness.
Magnet Rise,ELECTRIC,,—,—,10,User becomes immune to Ground-type moves for 5 turns.
Magnetic Flux,ELECTRIC,,—,—,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.
Magnitude,GROUND,,—,100,30,Hits with random power.
Malicious Moonsault,DARK,,180,—,1,Incineroar-exclusive Z-Move.
Mat Block,FIGHTING,,—,—,10,Protects teammates from damaging moves.
Me First,NORMAL,,—,—,20,User copies the opponent's attack with 1.5× power.
Mean Look,NORMAL,,—,—,5,Opponent cannot flee or switch.
Meditate,PSYCHIC,,—,—,40,Raises user's Attack.
Mega Drain,GRASS,,40,100,15,User recovers half the HP inflicted on opponent.
Mega Kick,NORMAL,,120,75,5,
Mega Punch,NORMAL,,80,85,20,
Megahorn,BUG,,120,85,10,
Memento,DARK,,—,100,10,"User faints, sharply lowers opponent's Attack and Special Attack."
Menacing Moonraze Maelstrom,GHOST,,200,—,1,Lunala-exclusive Z-Move.
Metal Burst,STEEL,,—,100,10,Deals damage equal to 1.5x opponent's attack.
Metal Claw,STEEL,,50,95,35,May raise user's Attack.
Metal Sound,STEEL,,—,85,40,Sharply lowers opponent's Special Defense.
Meteor Mash,STEEL,,90,90,10,May raise user's Attack.
Metronome,NORMAL,,—,—,10,User performs almost any move in the game at random.
Milk Drink,NORMAL,,—,—,10,User recovers half its max HP.
Mimic,NORMAL,,—,—,10,Copies the opponent's last move.
Mind Blown,FIRE,,150,100,5,User receives recoil damage.
Mind Reader,NORMAL,,—,—,5,User's next attack is guaranteed to hit.
Minimize,NORMAL,,—,—,10,Sharply raises user's Evasiveness.
Miracle Eye,PSYCHIC,,—,—,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity."
Mirror Coat,PSYCHIC,,—,100,20,"When hit by a Special Attack, user strikes back with 2x power."
Mirror Move,FLYING,,—,—,20,User performs the opponent's last move.
Mirror Shot,STEEL,,65,85,10,May lower opponent's Accuracy.
Mist,ICE,,—,—,30,User's stats cannot be changed for a period of time.
Mist Ball,PSYCHIC,,70,100,5,May lower opponent's Special Attack.
Misty Terrain,FAIRY,,—,—,10,Protects the field from status conditions for 5 turns.
Moonblast,FAIRY,,95,100,15,May lower opponent's Special Attack.
Moongeist Beam,GHOST,,100,100,5,Ignores the target's ability.
Moonlight,FAIRY,,—,—,5,User recovers HP. Amount varies with the weather.
Morning Sun,NORMAL,,—,—,5,User recovers HP. Amount varies with the weather.
Mud Bomb,GROUND,,65,85,10,May lower opponent's Accuracy.
Mud Shot,GROUND,,55,95,15,Lowers opponent's Speed.
Mud Sport,GROUND,,—,—,15,Weakens the power of Electric-type moves.
Mud-Slap,GROUND,,20,100,10,Lowers opponent's Accuracy.
Muddy Water,WATER,,90,85,10,May lower opponent's Accuracy.
Multi-Attack,NORMAL,,90,100,10,Type matches user's current type.
Mystical Fire,FIRE,,75,100,10,Lowers opponent's Special Attack.
Nasty Plot,DARK,,—,—,20,Sharply raises user's Special Attack.
Natural Gift,NORMAL,,—,100,15,Power and type depend on the user's held berry.
Nature Power,NORMAL,,—,—,20,Uses a certain move based on the current terrain.
Nature's Madness,FAIRY,,—,90,10,Halves the foe's HP.
Needle Arm,GRASS,,60,100,15,May cause flinching.
Never-Ending Nightmare,GHOST,—,—,—,1,Ghost type Z-Move.
Night Daze,DARK,,85,95,10,May lower opponent's Accuracy.
Night Shade,GHOST,,—,100,15,Inflicts damage equal to user's level.
Night Slash,DARK,,70,100,15,High critical hit ratio.
Nightmare,GHOST,,—,100,15,The sleeping opponent loses 25% of its max HP each turn.
Noble Roar,NORMAL,,—,100,30,Lowers opponent's Attack and Special Attack.
Nuzzle,ELECTRIC,,20,100,20,Paralyzes opponent.
Oblivion Wing,FLYING,,80,100,10,User recovers most of the HP inflicted on opponent.
Oceanic Operetta,WATER,,195,—,1,Primarina-exclusive Z-Move.
Octazooka,WATER,,65,85,10,May lower opponent's Accuracy.
Odor Sleuth,NORMAL,,—,—,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Ominous Wind,GHOST,,60,100,5,May raise all user's stats at once.
Origin Pulse,WATER,,110,85,10,Hits all adjacent opponents.
Outrage,DRAGON,,120,100,10,User attacks for 2-3 turns but then becomes confused.
Overheat,FIRE,,130,90,5,Sharply lowers user's Special Attack.
Pain Split,NORMAL,,—,—,20,The user's and opponent's HP becomes the average of both.
Parabolic Charge,ELECTRIC,,65,100,20,User recovers half the HP inflicted on opponent.
Parting Shot,DARK,,—,100,20,Lowers opponent's Attack and Special Attack then switches out.
Pay Day,NORMAL,,40,100,20,A small amount of money is gained after the battle resolves.
Payback,DARK,,50,100,10,Power doubles if the user was attacked first.
Peck,FLYING,,35,100,35,
Perish Song,NORMAL,,—,—,5,Any Pokémon in play when this attack is used faints in 3 turns.
Petal Blizzard,GRASS,,90,100,15,Hits all adjacent Pokémon.
Petal Dance,GRASS,,120,100,10,User attacks for 2-3 turns but then becomes confused.
Phantom Force,GHOST,,90,100,10,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Photon Geyser,PSYCHIC,,100,100,5,"Uses Attack or Special Attack stat, whichever is higher."
Pika Papow,ELECTRIC,,—,∞,20,Power increases when player's bond is stronger.
Pin Missile,BUG,,25,95,20,Hits 2-5 times in one turn.
Plasma Fists,ELECTRIC,,100,100,15,Changes Normal-type moves to Electric-type moves.
Play Nice,NORMAL,,—,—,20,Lowers opponent's Attack. Always hits.
Play Rough,FAIRY,,90,90,10,May lower opponent's Attack.
Pluck,FLYING,,60,100,20,"If the opponent is holding a berry, its effect is stolen by user."
Poison Fang,POISON,,50,100,15,May badly poison opponent.
Poison Gas,POISON,,—,90,40,Poisons opponent.
Poison Jab,POISON,,80,100,20,May poison the opponent.
Poison Powder,POISON,,—,75,35,Poisons opponent.
Poison Sting,POISON,,15,100,35,May poison the opponent.
Poison Tail,POISON,,50,100,25,High critical hit ratio. May poison opponent.
Pollen Puff,BUG,,90,100,15,Deals damage to opponent or restores HP of teammate.
Pound,NORMAL,,40,100,35,
Powder,BUG,,—,100,20,Damages Pokémon using Fire type moves.
Powder Snow,ICE,,40,100,25,May freeze opponent.
Power Gem,ROCK,,80,100,20,
Power Split,PSYCHIC,,—,—,10,Averages Attack and Special Attack with the target.
Power Swap,PSYCHIC,,—,—,10,User and opponent swap Attack and Special Attack.
Power Trick,PSYCHIC,,—,—,10,User's own Attack and Defense switch.
Power Trip,DARK,,20,100,10,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power."
Power Whip,GRASS,,120,85,10,
Power-Up Punch,FIGHTING,,40,100,10,Raises Attack.
Precipice Blades,GROUND,,120,85,10,Hits all adjacent opponents.
Present,NORMAL,,—,90,15,Either deals damage or heals.
Prismatic Laser,PSYCHIC,,160,100,10,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.
Protect,NORMAL,,—,—,10,"Protects the user, but may fail if used consecutively."
Psybeam,PSYCHIC,,65,100,20,May confuse opponent.
Psych Up,NORMAL,,—,—,10,Copies the opponent's stat changes.
Psychic,PSYCHIC,,90,100,10,May lower opponent's Special Defense.
Psychic Fangs,PSYCHIC,,85,100,10,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.
Psychic Terrain,PSYCHIC,,—,—,10,Prevents priority moves from being used for 5 turns.
Psycho Boost,PSYCHIC,,140,90,5,Sharply lowers user's Special Attack.
Psycho Cut,PSYCHIC,,70,100,20,High critical hit ratio.
Psycho Shift,PSYCHIC,,—,90,10,"Gives the opponent the user's status condition, if it hits."
Psyshock,PSYCHIC,,80,100,10,"Inflicts damage based on the target's Defense, not Special Defense."
Psystrike,PSYCHIC,,100,100,10,"Inflicts damage based on the target's Defense, not Special Defense."
Psywave,PSYCHIC,,—,80,15,Inflicts damage 50-150% of user's level.
Pulverizing Pancake,NORMAL,,210,—,1,Snorlax-exclusive Normal type Z-Move.
Punishment,DARK,,—,100,5,Power increases when opponent's stats have been raised.
Purify,POISON,,—,—,20,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP."
Pursuit,DARK,,40,100,20,Double power if the opponent is switching out.
Quash,DARK,,—,100,15,Makes the target act last this turn.
Quick Attack,NORMAL,,40,100,30,User attacks first.
Quick Guard,FIGHTING,,—,—,15,Protects the user's team from high-priority moves.
Quiver Dance,BUG,,—,—,20,"Raises user's Special Attack, Special Defense and Speed."
Rage,NORMAL,,20,100,20,Raises user's Attack when hit.
Rage Powder,BUG,,—,—,20,"Forces attacks to hit user, not team-mates."
Rain Dance,WATER,,—,—,5,Makes it rain for 5 turns.
Rapid Spin,NORMAL,,20,100,40,Removes effects of trap moves.
Razor Leaf,GRASS,,55,95,25,High critical hit ratio.
Razor Shell,WATER,,75,95,10,May lower opponent's Defense.
Razor Wind,NORMAL,,80,100,10,"Charges on first turn, attacks on second. High critical hit ratio."
Recover,NORMAL,,—,—,10,User recovers half its max HP.
Recycle,NORMAL,,—,—,10,User's used hold item is restored.
Reflect,PSYCHIC,,—,—,20,Halves damage from Physical attacks for 5 turns.
Reflect Type,NORMAL,,—,—,15,User becomes the target's type.
Refresh,NORMAL,,—,—,20,"Cures paralysis, poison, and burns."
Relic Song,NORMAL,,75,100,10,May put the target to sleep.
Rest,PSYCHIC,,—,—,10,"User sleeps for 2 turns, but user is fully healed."
Retaliate,NORMAL,,70,100,5,Inflicts double damage if a teammate fainted on the last turn.
Return,NORMAL,,—,100,20,Power increases with higher Friendship.
Revelation Dance,NORMAL,,90,100,15,Type changes based on Oricorio's form.
Revenge,FIGHTING,,60,100,10,Power increases if user was hit first.
Reversal,FIGHTING,,—,100,15,"The lower the user's HP, the higher the power."
Roar,NORMAL,,—,—,20,"In battles, the opponent switches. In the wild, the Pokémon runs."
Roar of Time,DRAGON,,150,90,5,User must recharge next turn.
Rock Blast,ROCK,,25,90,10,Hits 2-5 times in one turn.
Rock Climb,NORMAL,,90,85,20,May confuse opponent.
Rock Polish,ROCK,,—,—,20,Sharply raises user's Speed.
Rock Slide,ROCK,,75,90,10,May cause flinching.
Rock Smash,FIGHTING,,40,100,15,May lower opponent's Defense.
Rock Throw,ROCK,,50,90,15,
Rock Tomb,ROCK,,60,95,15,Lowers opponent's Speed.
Rock Wrecker,ROCK,,150,90,5,User must recharge next turn.
Role Play,PSYCHIC,,—,—,15,User copies the opponent's Ability.
Rolling Kick,FIGHTING,,60,85,15,May cause flinching.
Rollout,ROCK,,30,90,20,Doubles in power each turn for 5 turns.
Roost,FLYING,,—,—,10,User recovers half of its max HP and loses the Flying type temporarily.
Rototiller,GROUND,,—,—,10,Raises Attack and Special Attack of Grass-types.
Round,NORMAL,,60,100,15,Power increases if teammates use it in the same turn.
Sacred Fire,FIRE,,100,95,5,May burn opponent.
Sacred Sword,FIGHTING,,90,100,20,Ignores opponent's stat changes.
Safeguard,NORMAL,,—,—,25,The user's party is protected from status conditions.
Sand Attack,GROUND,,—,100,15,Lowers opponent's Accuracy.
Sand Tomb,GROUND,,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Sandstorm,ROCK,,—,—,10,Creates a sandstorm for 5 turns.
Sappy Seed,GRASS,,90,100,15,Drains HP from opponent each turn.
Savage Spin-Out,BUG,—,—,—,1,Bug type Z-Move.
Scald,WATER,,80,100,15,May burn opponent.
Scary Face,NORMAL,,—,100,10,Sharply lowers opponent's Speed.
Scratch,NORMAL,,40,100,35,
Screech,NORMAL,,—,85,40,Sharply lowers opponent's Defense.
Searing Shot,FIRE,,100,100,5,May burn opponent.
Searing Sunraze Smash,STEEL,,200,—,1,Solgaleo-exclusive Z-Move.
Secret Power,NORMAL,,70,100,20,Effects of the attack vary with the location.
Secret Sword,FIGHTING,,85,100,10,"Inflicts damage based on the target's Defense, not Special Defense."
Seed Bomb,GRASS,,80,100,15,
Seed Flare,GRASS,,120,85,5,May lower opponent's Special Defense.
Seismic Toss,FIGHTING,,—,100,20,Inflicts damage equal to user's level.
Self-Destruct,NORMAL,,200,100,5,User faints.
Shadow Ball,GHOST,,80,100,15,May lower opponent's Special Defense.
Shadow Bone,GHOST,,85,100,10,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target's Defense stat.
Shadow Claw,GHOST,,70,100,15,High critical hit ratio.
Shadow Force,GHOST,,120,100,5,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Shadow Punch,GHOST,,60,∞,20,Ignores Accuracy and Evasiveness.
Shadow Sneak,GHOST,,40,100,30,User attacks first.
Sharpen,NORMAL,,—,—,30,Raises user's Attack.
Shattered Psyche,PSYCHIC,—,—,—,1,Psychic type Z-Move.
Sheer Cold,ICE,,—,—,5,"One-Hit-KO, if it hits."
Shell Smash,NORMAL,,—,—,15,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense."
Shell Trap,FIRE,,150,100,5,Deals more damage to opponent if hit by a Physical move.
Shift Gear,STEEL,,—,—,10,Raises user's Attack and sharply raises Speed.
Shock Wave,ELECTRIC,,60,∞,20,Ignores Accuracy and Evasiveness.
Shore Up,GROUND,,—,—,10,The user regains up to half of its max HP. It restores more HP in a sandstorm.
Signal Beam,BUG,,75,100,15,May confuse opponent.
Silver Wind,BUG,,60,100,5,May raise all stats of user at once.
Simple Beam,NORMAL,,—,100,15,Changes target's ability to Simple.
Sing,NORMAL,,—,55,15,Puts opponent to sleep.
Sinister Arrow Raid,GHOST,,180,—,1,Decidueye-exclusive Z-Move.
Sizzly Slide,FIRE,,90,100,15,Burns the opponent.
Sketch,NORMAL,,—,—,1,Permanently copies the opponent's last move.
Skill Swap,PSYCHIC,,—,—,10,The user swaps Abilities with the opponent.
Skull Bash,NORMAL,,130,100,10,"Raises Defense on first turn, attacks on second."
Sky Attack,FLYING,,140,90,5,"Charges on first turn, attacks on second. May cause flinching."
Sky Drop,FLYING,,60,100,10,"Takes opponent into the air on first turn, drops them on second turn."
Sky Uppercut,FIGHTING,,85,90,15,"Hits the opponent, even during Fly."
Slack Off,NORMAL,,—,—,10,User recovers half its max HP.
Slam,NORMAL,,80,75,20,
Slash,NORMAL,,70,100,20,High critical hit ratio.
Sleep Powder,GRASS,,—,75,15,Puts opponent to sleep.
Sleep Talk,NORMAL,,—,—,10,User performs one of its own moves while sleeping.
Sludge,POISON,,65,100,20,May poison opponent.
Sludge Bomb,POISON,,90,100,10,May poison opponent.
Sludge Wave,POISON,,95,100,10,May poison opponent.
Smack Down,ROCK,,50,100,15,Makes Flying-type Pokémon vulnerable to Ground moves.
Smart Strike,STEEL,,70,—,10,The user stabs the target with a sharp horn. This attack never misses.
Smelling Salts,NORMAL,,70,100,10,"Power doubles if opponent is paralyzed, but cures it."
Smog,POISON,,30,70,20,May poison opponent.
Smokescreen,NORMAL,,—,100,20,Lowers opponent's Accuracy.
Snarl,DARK,,55,95,15,Lowers opponent's Special Attack.
Snatch,DARK,,—,—,10,Steals the effects of the opponent's next move.
Snore,NORMAL,,50,100,15,Can only be used if asleep. May cause flinching.
Soak,WATER,,—,100,20,Changes the target's type to water.
Soft-Boiled,NORMAL,,—,—,10,User recovers half its max HP.
Solar Beam,GRASS,,120,100,10,"Charges on first turn, attacks on second."
Solar Blade,GRASS,,125,100,10,"Charges on first turn, attacks on second."
Sonic Boom,NORMAL,,—,90,20,Always inflicts 20 HP.
Soul-Stealing 7-Star Strike,GHOST,,195,—,1,Marshadow-exclusive Z-Move.
Spacial Rend,DRAGON,,100,95,5,High critical hit ratio.
Spark,ELECTRIC,,65,100,20,May paralyze opponent.
Sparkling Aria,WATER,,90,100,10,Heals the burns of its target.
Sparkly Swirl,FAIRY,,90,100,15,Cures all status problems in the party Pokémon.
Spectral Thief,GHOST,,90,100,10,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks."
Speed Swap,PSYCHIC,,—,—,10,The user exchanges Speed stats with the target.
Spider Web,BUG,,—,—,10,Opponent cannot escape/switch.
Spike Cannon,NORMAL,,20,100,15,Hits 2-5 times in one turn.
Spikes,GROUND,,—,—,20,Hurts opponents when they switch into battle.
Spiky Shield,GRASS,,—,—,10,Protects the user and inflicts damage on contact.
Spirit Shackle,GHOST,,80,100,10,Prevents the opponent from switching out.
Spit Up,NORMAL,,—,100,10,Power depends on how many times the user performed Stockpile.
Spite,GHOST,,—,100,10,The opponent's last move loses 2-5 PP.
Splash,NORMAL,,—,—,40,Doesn't do ANYTHING.
Splintered Stormshards,ROCK,,190,—,1,Lycanroc-exclusive Z-Move.
Splishy Splash,WATER,,90,100,15,May paralyze opponent.
Spore,GRASS,,—,100,15,Puts opponent to sleep.
Spotlight,NORMAL,,—,—,15,The user shines a spotlight on the target so that only the target will be attacked during the turn.
Stealth Rock,ROCK,,—,—,20,Damages opponent switching into battle.
Steam Eruption,WATER,,110,95,5,May burn opponent.
Steamroller,BUG,,65,100,20,May cause flinching.
Steel Wing,STEEL,,70,90,25,May raise user's Defense.
Sticky Web,BUG,,—,—,20,Lowers opponent's Speed when switching into battle.
Stockpile,NORMAL,,—,—,20,Stores energy for use with Spit Up and Swallow.
Stoked Sparksurfer,ELECTRIC,,175,—,1,Alolan Raichu-exclusive Electric type Z-Move.
Stomp,NORMAL,,65,100,20,May cause flinching.
Stomping Tantrum,GROUND,,75,100,10,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles."
Stone Edge,ROCK,,100,80,5,High critical hit ratio.
Stored Power,PSYCHIC,,20,100,10,Power increases when user's stats have been raised.
Storm Throw,FIGHTING,,60,100,10,Always results in a critical hit.
Strength,NORMAL,,80,100,15,
Strength Sap,GRASS,,—,100,10,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.
String Shot,BUG,,—,95,40,Sharply lowers opponent's Speed.
Struggle,NORMAL,,50,100,—,Only usable when all PP are gone. Hurts the user.
Struggle Bug,BUG,,50,100,20,Lowers opponent's Special Attack.
Stun Spore,GRASS,,—,75,30,Paralyzes opponent.
Submission,FIGHTING,,80,80,20,User receives recoil damage.
Substitute,NORMAL,,—,—,10,Uses HP to creates a decoy that takes hits.
Subzero Slammer,ICE,—,—,—,1,Ice type Z-Move.
Sucker Punch,DARK,,70,100,5,"User attacks first, but only works if opponent is readying an attack."
Sunny Day,FIRE,,—,—,5,Makes it sunny for 5 turns.
Sunsteel Strike,STEEL,,100,100,5,Ignores the target's ability.
Super Fang,NORMAL,,—,90,10,Always takes off half of the opponent's HP.
Superpower,FIGHTING,,120,100,5,Lowers user's Attack and Defense.
Supersonic,NORMAL,,—,55,20,Confuses opponent.
Supersonic Skystrike,FLYING,—,—,—,1,Flying type Z-Move.
Surf,WATER,,90,100,15,Hits all adjacent Pokémon.
Swagger,NORMAL,,—,85,15,"Opponent becomes confused, but its Attack is sharply raised."
Swallow,NORMAL,,—,—,10,"The more times the user has performed Stockpile, the more HP is recovered."
Sweet Kiss,FAIRY,,—,75,10,Confuses opponent.
Sweet Scent,NORMAL,,—,—,20,Lowers opponent's Evasiveness.
Swift,NORMAL,,60,∞,20,Ignores Accuracy and Evasiveness.
Switcheroo,DARK,,—,100,15,Swaps held items with the opponent.
Swords Dance,NORMAL,,—,—,20,Sharply raises user's Attack.
Synchronoise,PSYCHIC,,120,100,15,Hits any Pokémon that shares a type with the user.
Synthesis,GRASS,,—,—,5,User recovers HP. Amount varies with the weather.
Tackle,NORMAL,,40,100,35,
Tail Glow,BUG,,—,—,20,Drastically raises user's Special Attack.
Tail Slap,NORMAL,,25,85,10,Hits 2-5 times in one turn.
Tail Whip,NORMAL,,—,100,30,Lowers opponent's Defense.
Tailwind,FLYING,,—,—,30,Doubles Speed for 4 turns.
Take Down,NORMAL,,90,85,20,User receives recoil damage.
Taunt,DARK,,—,100,20,Opponent can only use moves that attack.
Tearful Look,NORMAL,,—,—,20,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.
Techno Blast,NORMAL,,120,100,5,Type depends on the Drive being held.
Tectonic Rage,GROUND,—,—,—,1,Ground type Z-Move.
Teeter Dance,NORMAL,,—,100,20,Confuses all Pokémon.
Telekinesis,PSYCHIC,,—,—,15,"Ignores opponent's Evasiveness for three turns, add Ground immunity."
Teleport,PSYCHIC,,—,—,20,Allows user to flee wild battles; also warps player to last PokéCenter.
Thief,DARK,,60,100,25,Also steals opponent's held item.
Thousand Arrows,GROUND,,90,100,10,Makes Flying-type Pokémon vulnerable to Ground moves.
Thousand Waves,GROUND,,90,100,10,Opponent cannot flee or switch.
Thrash,NORMAL,,120,100,10,User attacks for 2-3 turns but then becomes confused.
Throat Chop,DARK,,80,100,15,Prevents use of sound moves for two turns.
Thunder,ELECTRIC,,110,70,10,May paralyze opponent.
Thunder Fang,ELECTRIC,,65,95,15,May cause flinching and/or paralyze opponent.
Thunder Punch,ELECTRIC,,75,100,15,May paralyze opponent.
Thunder Shock,ELECTRIC,,40,100,30,May paralyze opponent.
Thunder Wave,ELECTRIC,,—,90,20,Paralyzes opponent.
Thunderbolt,ELECTRIC,,90,100,15,May paralyze opponent.
Tickle,NORMAL,,—,100,20,Lowers opponent's Attack and Defense.
Topsy-Turvy,DARK,,—,—,20,Reverses stat changes of opponent.
Torment,DARK,,—,100,15,Opponent cannot use the same move in a row.
Toxic,POISON,,—,90,10,Badly poisons opponent.
Toxic Spikes,POISON,,—,—,20,Poisons opponents when they switch into battle.
Toxic Thread,POISON,,—,100,20,The user shoots poisonous threads to poison the target and lower the target's Speed stat.
Transform,NORMAL,,—,—,10,User takes on the form and attacks of the opponent.
Tri Attack,NORMAL,,80,100,10,"May paralyze, burn or freeze opponent."
Trick,PSYCHIC,,—,100,10,Swaps held items with the opponent.
Trick Room,PSYCHIC,,—,—,5,Slower Pokémon move first in the turn for 5 turns.
Trick-or-Treat,GHOST,,—,100,20,Adds Ghost type to opponent.
Triple Kick,FIGHTING,,10,90,10,Hits thrice in one turn at increasing power.
Trop Kick,GRASS,,70,100,15,Lowers opponent's Attack.
Trump Card,NORMAL,,—,∞,5,"The lower the PP, the higher the power."
Twineedle,BUG,,25,100,20,Hits twice in one turn. May poison opponent.
Twinkle Tackle,FAIRY,—,—,—,1,Fairy type Z-Move.
Twister,DRAGON,,40,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.
U-turn,BUG,,70,100,20,User switches out immediately after attacking.
Uproar,NORMAL,,90,100,10,User attacks for 3 turns and prevents sleep.
V-create,FIRE,,180,95,5,"Lowers user's Defense, Special Defense and Speed."
Vacuum Wave,FIGHTING,,40,100,30,User attacks first.
Veevee Volley,NORMAL,,—,∞,20,Power increases when player's bond is stronger.
Venom Drench,POISON,,—,100,20,Lowers poisoned opponent's Special Attack and Speed.
Venoshock,POISON,,65,100,10,Inflicts double damage if the target is poisoned.
Vice Grip,NORMAL,,55,100,30,
Vine Whip,GRASS,,45,100,25,
Vital Throw,FIGHTING,,70,∞,10,"User attacks last, but ignores Accuracy and Evasiveness."
Volt Switch,ELECTRIC,,70,100,20,User must switch out after attacking.
Volt Tackle,ELECTRIC,,120,100,15,User receives recoil damage. May paralyze opponent.
Wake-Up Slap,FIGHTING,,70,100,10,"Power doubles if opponent is asleep, but wakes it up."
Water Gun,WATER,,40,100,25,
Water Pledge,WATER,,80,100,10,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.
Water Pulse,WATER,,60,100,20,May confuse opponent.
Water Shuriken,WATER,,15,100,20,Hits 2-5 times in one turn.
Water Sport,WATER,,—,—,15,Weakens the power of Fire-type moves.
Water Spout,WATER,,150,100,5,"The higher the user's HP, the higher the damage caused."
Waterfall,WATER,,80,100,15,May cause flinching.
Weather Ball,NORMAL,,50,100,10,Move's power and type changes with the weather.
Whirlpool,WATER,,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Whirlwind,NORMAL,,—,—,20,"In battles, the opponent switches. In the wild, the Pokémon runs."
Wide Guard,ROCK,,—,—,10,Protects the user's team from multi-target attacks.
Wild Charge,ELECTRIC,,90,100,15,User receives recoil damage.
Will-O-Wisp,FIRE,,—,85,15,Burns opponent.
Wing Attack,FLYING,,60,100,35,
Wish,NORMAL,,—,—,10,The user recovers HP in the following turn.
Withdraw,WATER,,—,—,40,Raises user's Defense.
Wonder Room,PSYCHIC,,—,—,10,Swaps every Pokémon's Defense and Special Defense for 5 turns.
Wood Hammer,GRASS,,120,100,15,User receives recoil damage.
Work Up,NORMAL,,—,—,30,Raises user's Attack and Special Attack.
Worry Seed,GRASS,,—,100,10,Changes the opponent's Ability to Insomnia.
Wrap,NORMAL,,15,90,20,"Traps opponent, damaging them for 4-5 turns."
Wring Out,NORMAL,,—,100,5,"The higher the opponent's HP, the higher the damage."
X-Scissor,BUG,,80,100,15,
Yawn,NORMAL,,—,—,10,Puts opponent to sleep in the next turn.
Zap Cannon,ELECTRIC,,120,50,5,Paralyzes opponent.
Zen Headbutt,PSYCHIC,,80,90,15,May cause flinching.
Zing Zap,ELECTRIC,,80,100,10,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch."
Zippy Zap,ELECTRIC,,50,100,15,High critical-hit ratio.